iid,pid,wave,dec,dec_o,match,age,age_o,gender,field,pref_attractive,pref_sincere,hobby_sports,hobby_music,self_attractive
1,2,1,1,0,0,25,24,1,"Business, Economics and Finance",70,60,8,5,7
2,1,1,0,1,0,24,25,0,"Business, Economics and Finance",55,80,4,9,6
1,3,1,1,1,1,25,26,1,"Business, Economics and Finance",70,60,8,5,7
3,1,1,1,1,1,26,25,0,Art,40,70,3,8,5
4,5,1,1,0,0,30,28,1,Law,50,50,6,6,5
5,6,2,0,1,0,28,29,0,Medicine,45,65,5,7,6
6,5,2,1,0,0,29,28,1,Medicine,80,40,9,2,8
1,2,1,1,0,0,25,24,1,"Business, Economics and Finance",70,60,8,5,7
3,1,1,0,1,0,26,25,0,Art,40,70,3,8,5
4,6,2,0,0,0,30,29,1,"He said ""hello""",50,50,5,5,5
6,4,2,0,0,0,29,30,0,EmptyFieldTest,50,50,5,5,5
5,4,2,1,0,0,28,30,0,,45,65,5,7,6
4,5,2,0,1,0,30,28,1,Law,50,50,6,6,5
