iid,pid,wave,dec,dec_o,match,gender,order,round,date,RA,id,partner
360,362,14,0,0,0,0,10,18,6,4.5,20,2
530,541,21,1,0,0,0,2,22,7,3.5,22,11
206,224,9,1,1,1,0,17,20,5,5.0,13,11
22,47,2,0,1,0,0,14,16,6,6.0,2,8
357,366,14,0,1,0,0,13,18,4,5.5,17,6
36,53,2,1,0,0,0,10,16,5,8.5,16,14
470,494,19,0,1,0,0,5,15,4,5.5,5,14
270,273,11,1,0,0,0,15,21,5,6.0,19,1
84,98,4,0,1,0,0,4,18,4,7.75,9,5
254,274,11,0,0,0,0,6,21,6,3.5,3,2
386,415,15,0,1,0,0,15,19,7,5.0,8,19
199,214,9,0,1,0,0,15,20,5,3.0,6,1
265,288,11,0,0,0,0,8,21,5,5.5,14,16
213,226,9,1,0,0,0,8,20,4,6.5,20,13
348,374,14,1,0,0,0,1,18,6,3.0,8,14
178,185,8,1,0,0,0,2,10,4,3.5,5,2
33,42,2,0,0,0,0,5,16,6,6.0,13,3
351,364,14,1,1,1,0,1,18,5,4.0,11,4
330,338,13,0,1,0,0,8,9,7,3.5,9,7
182,188,8,0,0,0,0,5,10,4,6.0,9,5
